#Coordinates  RecID  LigID  Luciferin  Neighbor's number  Vision Range  Scoring
(-1.0574105, 20.2807016, -3.7385332, -0.1462532, 0.2050041, 0.9391962, 0.2334391)    0    0   31.17509200  5 0.160 41.43950114
(-1.2303461, 20.5453778, -3.6550108, -0.1462490, 0.2050182, 0.9391916, 0.2334477)    0    0   32.80321708  13 0.000 42.42198759
(-0.9133845, 20.7352232, -3.7198241, -0.1462531, 0.2050045, 0.9391961, 0.2334393)    0    0   34.05753809  0 0.400 43.41533262
(-1.3470587, 19.9866738, -3.9627748, -0.1462544, 0.2050001, 0.9391974, 0.2334369)    0    0   30.42968695  44 0.000 37.45937496
(-0.8842317, 20.6244093, -4.1171425, -0.1462522, 0.2050074, 0.9391952, 0.2334411)    0    0   34.25568361  20 0.000 43.09036434
(-1.2260940, 20.3656772, -3.7987384, -0.1462540, 0.2050013, 0.9391971, 0.2334375)    0    0   33.62823974  0 0.400 42.50977352
(-1.0273788, 20.6451471, -4.2764024, -0.1462590, 0.2049852, 0.9392023, 0.2334276)    0    0   37.11319222  1 0.880 48.46773666
(-1.2272104, 20.7515192, -3.3362421, -0.1462540, 0.2050017, 0.9391970, 0.2334376)    0    0   32.99858009  2 0.640 40.85618937
(-1.1596820, 20.6332458, -4.2154574, -0.1462536, 0.2050028, 0.9391966, 0.2334383)    0    0   31.40707450  53 0.000 38.28159493
(-1.2571139, 20.4334484, -3.7154491, -0.1462542, 0.2050010, 0.9391972, 0.2334372)    0    0   34.39563667  0 0.400 43.59618181
(-1.1020788, 20.5688437, -4.0836326, -0.1462607, 0.2049793, 0.9392042, 0.2334240)    0    0   37.67332945  0 3.200 47.17622596
(-1.3818855, 20.5085127, -3.5181765, -0.1462549, 0.2049985, 0.9391980, 0.2334357)    0    0   32.96987470  50 0.000 42.44033816
(-1.3078322, 20.5298651, -3.5598415, -0.1462496, 0.2050160, 0.9391924, 0.2334463)    0    0   32.68744234  0 0.400 40.99116749
(-0.5794834, 20.7019170, -3.7970979, -0.1462541, 0.2050012, 0.9391971, 0.2334373)    0    0   33.82334425  0 0.400 41.62273553
(-1.0880171, 20.5366352, -4.2509181, -0.1462558, 0.2049954, 0.9391990, 0.2334338)    0    0   34.60092701  0 0.400 43.91007510
(-1.0194315, 20.6573096, -4.1864648, -0.1462579, 0.2049887, 0.9392012, 0.2334297)    0    0   33.20943186  13 0.000 40.98114797
(-1.1305792, 20.5219558, -3.8717557, -0.1462543, 0.2050005, 0.9391973, 0.2334371)    0    0   31.74035228  13 0.000 38.37972575
(-1.4198524, 20.5960031, -3.8779611, -0.1462529, 0.2050052, 0.9391959, 0.2334398)    0    0   32.05634515  0 0.400 40.71223694
(-1.3677743, 20.4827684, -4.0357659, -0.1462581, 0.2049881, 0.9392014, 0.2334293)    0    0   33.15211686  40 0.000 41.35417193
(-1.3863273, 20.3495542, -3.8763373, -0.1462560, 0.2049948, 0.9391992, 0.2334335)    0    0   29.12127052  10 0.000 36.20251486
(-1.2363708, 20.5804734, -4.5374598, -0.1462541, 0.2050011, 0.9391972, 0.2334373)    0    0   36.67068201  2 0.640 47.09807652
(-1.2408582, 20.1559728, -4.1513367, -0.1462547, 0.2049989, 0.9391979, 0.2334360)    0    0   35.22629956  0 0.400 44.63096291
(-1.1138872, 20.4260063, -3.6901268, -0.1462503, 0.2050139, 0.9391930, 0.2334451)    0    0   35.25520037  0 0.560 44.25690651
(-0.8617100, 20.7520163, -4.2004749, -0.1462554, 0.2049970, 0.9391985, 0.2334347)    0    0   34.97807304  14 0.000 44.33153552
(-0.7207084, 21.0335786, -3.7560287, -0.1462563, 0.2049939, 0.9391995, 0.2334329)    0    0   29.71785007  0 0.400 35.28226696
(-1.2413451, 20.4389792, -4.4534816, -0.1462503, 0.2050138, 0.9391931, 0.2334450)    0    0   34.22843457  0 0.400 42.42300639
(-1.0090987, 20.4448416, -3.8136577, -0.1462536, 0.2050027, 0.9391966, 0.2334383)    0    0   35.24537475  11 0.800 41.83325517
(-1.0742419, 20.4042171, -3.8599791, -0.1462530, 0.2050046, 0.9391960, 0.2334395)    0    0   33.79039961  5 0.400 43.06246066
(-1.0758882, 20.2724646, -3.7838526, -0.1462567, 0.2049927, 0.9391999, 0.2334321)    0    0   32.58746210  31 0.000 39.80781966
(-1.0727619, 20.5386600, -4.0559576, -0.1462572, 0.2049910, 0.9392004, 0.2334310)    0    0   32.06545262  12 0.000 38.90813673
(-1.0131973, 20.8379160, -3.8698399, -0.1462518, 0.2050088, 0.9391947, 0.2334420)    0    0   32.56736533  10 0.160 41.16734084
(-1.2241999, 20.6728555, -3.8074991, -0.1462524, 0.2050067, 0.9391954, 0.2334407)    0    0   33.26786793  0 0.400 41.88847274
(-1.0561646, 20.5444321, -3.9264541, -0.1462559, 0.2049950, 0.9391991, 0.2334337)    0    0   32.71999476  12 0.000 40.09067956
(-0.9836102, 20.7776383, -4.1825240, -0.1462549, 0.2049984, 0.9391980, 0.2334357)    0    0   32.92194347  48 0.000 40.65121382
(-1.2466270, 20.2804375, -3.6524903, -0.1462560, 0.2049948, 0.9391992, 0.2334335)    0    0   32.81496927  0 0.400 38.84737065
(-0.9641024, 20.5654824, -4.1474600, -0.1462543, 0.2050006, 0.9391973, 0.2334370)    0    0   34.41109294  0 0.400 43.28967294
(-1.1544135, 20.5718422, -4.0563582, -0.1462574, 0.2049902, 0.9392007, 0.2334307)    0    0   33.67951890  19 0.000 39.03249562
(-1.0728124, 20.1326202, -3.9400639, -0.1462552, 0.2049974, 0.9391984, 0.2334351)    0    0   30.63834847  13 0.000 36.89697117
(-1.2544878, 20.5020219, -3.8153093, -0.1462520, 0.2050081, 0.9391949, 0.2334415)    0    0   34.03798915  15 0.000 42.25262818
(-1.1224594, 20.7864979, -3.9275932, -0.1462567, 0.2049925, 0.9391999, 0.2334321)    0    0   32.62793142  36 0.000 41.27067384
(-1.1323494, 20.6402773, -3.6531002, -0.1462537, 0.2050026, 0.9391967, 0.2334381)    0    0   35.80638986  2 0.320 45.83326459
(-1.5742629, 20.3136948, -3.9812578, -0.1462500, 0.2050147, 0.9391927, 0.2334457)    0    0   34.03034212  19 0.000 43.27081448
(-1.2032389, 20.2966907, -4.0572949, -0.1462525, 0.2050066, 0.9391954, 0.2334406)    0    0   33.89304124  21 0.000 42.08313838
(-1.1776622, 20.4815752, -3.8451067, -0.1462530, 0.2050048, 0.9391960, 0.2334395)    0    0   35.29598411  0 0.400 47.69753611
(-1.3246165, 20.4348037, -3.6290488, -0.1462540, 0.2050015, 0.9391970, 0.2334375)    0    0   33.22068558  38 0.000 41.29884622
(-1.3311931, 20.3859201, -3.9950588, -0.1462526, 0.2050059, 0.9391956, 0.2334403)    0    0   32.00316993  35 0.000 40.80672681
(-1.3162756, 20.6613148, -3.6654139, -0.1462518, 0.2050088, 0.9391947, 0.2334419)    0    0   33.17624914  0 0.400 39.45306531
(-1.0203175, 20.7195673, -3.9468162, -0.1462546, 0.2049997, 0.9391976, 0.2334364)    0    0   32.86277837  16 0.000 40.37425363
(-1.1909161, 20.7226453, -3.6096299, -0.1462565, 0.2049933, 0.9391997, 0.2334325)    0    0   35.75307464  7 0.240 45.36783332
(-1.1539390, 20.5723751, -4.0576864, -0.1462550, 0.2049984, 0.9391980, 0.2334356)    0    0   34.54980919  0 0.400 44.86251688
(-1.0570484, 20.2828209, -3.8747361, -0.1462525, 0.2050065, 0.9391954, 0.2334406)    0    0   31.90997954  0 0.400 39.66042331
(-1.2715824, 20.3067328, -3.9577692, -0.1462532, 0.2050044, 0.9391961, 0.2334392)    0    0   34.01930605  17 0.000 42.36164281
(-1.4000525, 20.4520556, -3.6209924, -0.1462520, 0.2050083, 0.9391949, 0.2334415)    0    0   33.05916298  0 0.400 40.25683704
(-1.0518191, 20.1577913, -4.1303486, -0.1462591, 0.2049845, 0.9392025, 0.2334272)    0    0   34.34931474  0 0.400 42.40568244
(-1.5318602, 20.3760397, -4.1829930, -0.1462547, 0.2049994, 0.9391977, 0.2334362)    0    0   36.14627822  4 0.640 46.25222230
(-0.7638815, 20.8018629, -4.2055558, -0.1462524, 0.2050069, 0.9391953, 0.2334407)    0    0   33.00904303  3 0.240 45.05315191
(-1.2856095, 20.3586623, -4.0868058, -0.1462573, 0.2049906, 0.9392006, 0.2334308)    0    0   32.95831258  0 0.400 43.72226205
