method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
dfire,0,0.0,0.0,0.0,4.7,4.7,0.0,34.0578,32.706
dfire,1,2.494,-2.851,-2.208,4.7,4.7,0.0,16.5284,16.2384
dfire,2,-18.145,-1.982,-12.084,4.7,4.7,0.0,16.403,16.1099
dfire,3,4.739,-4.75,-13.317,4.7,4.7,0.0,15.9028,15.9761
dfire,4,-1.08,-0.59,23.956,4.7,4.7,0.0,16.3569,15.7453
dfire,5,4.69,1.493,4.73,4.7,4.7,0.0,15.8407,15.8212
dfire,6,-0.246,1.486,3.166,4.7,4.7,0.0,15.6962,15.7448
dfire,7,3.704,-1.518,-0.543,4.7,4.7,0.0,16.0127,16.2229
dfire,8,2.228,1.098,-1.144,4.7,4.7,0.0,15.4742,14.9821
dfire,9,-16.055,-0.431,10.143,4.7,4.7,0.0,14.6186,15.1564
dfire,10,-0.262,0.804,2.018,4.7,4.7,0.0,15.0555,15.3277
dfire,11,1.641,-3.143,-3.191,4.7,4.7,0.0,15.9015,16.5232
dfire,12,4.066,3.593,4.868,4.7,4.7,0.0,16.1602,16.1281
dfire,13,0.65,6.785,9.923,4.7,4.7,0.0,16.0788,15.9685
dfire,14,-3.1,3.333,9.533,4.7,4.7,0.0,14.8888,14.8625
dfire,15,-2.423,-5.175,0.131,4.7,4.7,0.0,14.9769,15.0104
dfire,16,-4.491,-8.856,11.659,4.7,4.7,0.0,15.127,15.3052
dfire,17,-0.218,9.922,6.546,4.7,4.7,0.0,15.5241,14.8871
dfire,18,-0.955,0.542,5.352,4.7,4.7,0.0,15.4932,15.0878
dfire,19,-11.187,6.316,10.29,4.7,4.7,0.0,15.735,15.1147
dfire,20,-0.554,1.853,7.064,4.7,4.7,0.0,14.9619,14.84
dfire,21,1.369,-5.247,3.232,4.7,4.7,0.0,14.8547,15.1355
dfire,22,0.07,-5.888,11.303,4.7,4.7,0.0,15.0075,15.1094
dfire,23,-8.225,5.265,-11.431,4.7,4.7,0.0,15.5071,15.1248
dfire,24,4.404,6.321,12.233,4.7,4.7,0.0,15.1409,14.6098
dfire,25,2.91,-14.49,-3.315,4.7,4.7,0.0,14.7007,14.8716
dfire,26,9.549,-16.666,0.679,4.7,4.7,0.0,14.6313,14.8976
dfire,27,5.917,21.6,-2.128,4.7,4.7,0.0,14.8125,16.3488
dfire,28,-2.328,1.908,-0.602,4.7,4.7,0.0,16.6771,16.3154
dfire,29,1.98,-2.287,-3.209,4.7,4.7,0.0,17.6469,16.3305
dfire,30,-1.564,1.008,-6.45,4.7,4.7,0.0,16.0527,15.8615
dfire2,0,0.0,0.0,0.0,-83.695968,-83.695968,0.0,21.7972,19.97
dfire2,1,2.494,-2.851,-2.208,-83.695968,-83.695968,0.0,8.5459,8.9621
dfire2,2,-18.145,-1.982,-12.084,-83.695968,-83.695968,0.0,8.7162,9.0298
dfire2,3,4.739,-4.75,-13.317,-83.695968,-83.695968,0.0,9.1368,8.3444
dfire2,4,-1.08,-0.59,23.956,-83.695968,-83.695968,0.0,8.7145,8.202
dfire2,5,4.69,1.493,4.73,-83.695968,-83.695968,0.0,8.6198,8.0808
dfire2,6,-0.246,1.486,3.166,-83.695968,-83.695968,0.0,8.6545,7.7305
dfire2,7,3.704,-1.518,-0.543,-83.695968,-83.695968,0.0,8.6628,8.0374
dfire2,8,2.228,1.098,-1.144,-83.695968,-83.695968,0.0,9.5073,9.3435
dfire2,9,-16.055,-0.431,10.143,-83.695968,-83.695968,0.0,9.9195,9.1732
dfire2,10,-0.262,0.804,2.018,-83.695968,-83.695968,0.0,8.4757,7.7849
dfire2,11,1.641,-3.143,-3.191,-83.695968,-83.695968,0.0,9.3358,16.233
dfire2,12,4.066,3.593,4.868,-83.695968,-83.695968,0.0,13.2593,8.438
dfire2,13,0.65,6.785,9.923,-83.695968,-83.695968,0.0,9.5195,10.3875
dfire2,14,-3.1,3.333,9.533,-83.695968,-83.695968,0.0,10.1979,9.2175
dfire2,15,-2.423,-5.175,0.131,-83.695968,-83.695968,0.0,8.7446,8.718
dfire2,16,-4.491,-8.856,11.659,-83.695968,-83.695968,0.0,11.8196,10.3759
dfire2,17,-0.218,9.922,6.546,-83.695968,-83.695968,0.0,9.7388,12.0755
dfire2,18,-0.955,0.542,5.352,-83.695968,-83.695968,0.0,8.965,8.7797
dfire2,19,-11.187,6.316,10.29,-83.695968,-83.695968,0.0,12.1319,14.4498
dfire2,20,-0.554,1.853,7.064,-83.695968,-83.695968,0.0,15.3369,14.372
dfire2,21,1.369,-5.247,3.232,-83.695968,-83.695968,0.0,11.3151,11.6092
dfire2,22,0.07,-5.888,11.303,-83.695968,-83.695968,0.0,11.3113,13.2865
dfire2,23,-8.225,5.265,-11.431,-83.695968,-83.695968,0.0,10.4357,10.2108
dfire2,24,4.404,6.321,12.233,-83.695968,-83.695968,0.0,8.4936,9.6288
dfire2,25,2.91,-14.49,-3.315,-83.695968,-83.695968,0.0,8.7041,8.9507
dfire2,26,9.549,-16.666,0.679,-83.695968,-83.695968,0.0,10.7941,8.3505
dfire2,27,5.917,21.6,-2.128,-83.695968,-83.695968,0.0,10.6599,14.0087
dfire2,28,-2.328,1.908,-0.602,-83.695968,-83.695968,0.0,12.5604,10.3727
dfire2,29,1.98,-2.287,-3.209,-83.695968,-83.695968,0.0,15.3952,9.2652
dfire2,30,-1.564,1.008,-6.45,-83.695968,-83.695968,0.0,10.2222,11.954
dna,0,0.0,0.0,0.0,-1210.863489,-1211.671876,-0.8083870000000388,11.6263,1105.4425
dna,1,2.494,-2.851,-2.208,-1908.458049,-1907.414995,1.0430539999999837,6.3581,1091.5642
dna,2,-18.145,-1.982,-12.084,7.380975,7.321817,-0.059158000000000044,7.3194,1196.7688
dna,3,4.739,-4.75,-13.317,-60.299721,-57.891891,2.407829999999997,6.9675,1086.3543
dna,4,-1.08,-0.59,23.956,-1899.423122,-1900.280957,-0.8578350000000228,6.7465,1380.024
dna,5,4.69,1.493,4.73,-1590.145797,-1587.64141,2.5043869999999515,6.6962,1165.9471
dna,6,-0.246,1.486,3.166,-1688.984224,-1691.51419,-2.5299660000000586,7.6537,1127.6232
dna,7,3.704,-1.518,-0.543,-1576.088435,-1574.077221,2.0112139999998817,13.5003,1338.93
dna,8,2.228,1.098,-1.144,19.429681,20.052657,0.6229760000000013,8.0552,1342.3761
dna,9,-16.055,-0.431,10.143,-125.594765,-129.057922,-3.4631569999999954,6.5032,1538.0478
dna,10,-0.262,0.804,2.018,-3617.384238,-3620.264974,-2.88073600000007,7.2875,1090.4759
dna,11,1.641,-3.143,-3.191,-1300.578667,-1300.626778,-0.04811100000006263,6.5564,1137.425
dna,12,4.066,3.593,4.868,-1885.134947,-1889.701838,-4.566890999999941,6.6515,1117.9074
dna,13,0.65,6.785,9.923,-2845.101889,-2844.051442,1.0504470000000765,8.0419,1214.5257
dna,14,-3.1,3.333,9.533,-1717.24618,-1714.348455,2.8977250000000367,9.4344,1220.5953
dna,15,-2.423,-5.175,0.131,-2395.097098,-2397.663104,-2.5660060000000158,7.343,1143.3176
dna,16,-4.491,-8.856,11.659,-1607.51353,-1603.870297,3.6432330000000093,8.6678,1118.0202
dna,17,-0.218,9.922,6.546,-1045.442243,-1048.075236,-2.632992999999942,6.744,1131.4196
dna,18,-0.955,0.542,5.352,-3538.896184,-3540.848593,-1.9524089999999887,8.2185,1170.7551
dna,19,-11.187,6.316,10.29,-1033.121934,-1033.001005,0.12092899999993278,6.7589,1104.6114
dna,20,-0.554,1.853,7.064,-6335.988402,-6339.848907,-3.860504999999648,7.0052,1184.8407
dna,21,1.369,-5.247,3.232,-3504.42208,-3509.003363,-4.581282999999985,7.9461,1158.1951
dna,22,0.07,-5.888,11.303,-4983.011478,-4976.07483,6.936648000000787,7.4939,1152.5814
dna,23,-8.225,5.265,-11.431,4.529452,4.126494,-0.4029579999999999,8.2917,1102.6072
dna,24,4.404,6.321,12.233,-2246.761287,-2249.724218,-2.962931000000026,7.1171,1273.844
dna,25,2.91,-14.49,-3.315,-1108.605168,-1109.995246,-1.3900779999999031,8.3768,1274.4063
dna,26,9.549,-16.666,0.679,-1414.391593,-1415.562453,-1.1708599999999478,7.9016,1248.228
dna,27,5.917,21.6,-2.128,-133.127357,-132.806675,0.3206819999999766,6.9408,1117.7639
dna,28,-2.328,1.908,-0.602,-650.933934,-654.09908,-3.165145999999936,8.3815,1150.5401
dna,29,1.98,-2.287,-3.209,-1348.791423,-1351.876635,-3.0852120000001833,7.386,1266.1404
dna,30,-1.564,1.008,-6.45,-625.638006,-622.569874,3.0681319999999914,6.4882,1280.2962
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0,8.2172,5.1761
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.4039,5.4693
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,4.6895,5.1941
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,5.4547,4.4772
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,4.5866,4.6122
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0,4.8137,4.2124
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,4.4637,5.1992
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0,4.3989,4.3039
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0,4.6027,4.7427
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0,4.3571,4.3063
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0,5.3369,4.4669
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0,4.1338,4.7274
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0,4.9875,4.3488
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0,4.1519,4.4467
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0,4.9219,4.1596
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0,4.5211,5.2928
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0,4.6191,4.1068
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0,4.469,4.7938
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0,4.2298,4.1301
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0,4.5636,4.864
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0,4.339,4.9849
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0,6.2733,4.9396
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0,5.5255,6.4266
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0,4.5212,4.2581
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0,5.2583,4.6878
