method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
dfire,0,0.0,0.0,0.0,4.7,4.7,0.0,21.2552,19.3663
dfire,1,2.494,-2.851,-2.208,4.7,4.7,0.0,19.1396,20.3239
dfire,2,-18.145,-1.982,-12.084,4.7,4.7,0.0,20.409,18.9603
dfire,3,4.739,-4.75,-13.317,4.7,4.7,0.0,19.5242,17.9439
dfire,4,-1.08,-0.59,23.956,4.7,4.7,0.0,18.8729,19.4308
dfire,5,4.69,1.493,4.73,4.7,4.7,0.0,20.556,19.332
dfire,6,-0.246,1.486,3.166,4.7,4.7,0.0,17.7273,19.1446
dfire,7,3.704,-1.518,-0.543,4.7,4.7,0.0,18.8034,19.1213
dfire,8,2.228,1.098,-1.144,4.7,4.7,0.0,19.4795,21.671
dfire,9,-16.055,-0.431,10.143,4.7,4.7,0.0,19.8212,19.7466
dfire,10,-0.262,0.804,2.018,4.7,4.7,0.0,19.4518,19.6718
dfire,11,1.641,-3.143,-3.191,4.7,4.7,0.0,20.0904,19.3501
dfire,12,4.066,3.593,4.868,4.7,4.7,0.0,19.4161,19.23
dfire,13,0.65,6.785,9.923,4.7,4.7,0.0,19.1618,20.8928
dfire,14,-3.1,3.333,9.533,4.7,4.7,0.0,19.736,20.071
dfire,15,-2.423,-5.175,0.131,4.7,4.7,0.0,18.4843,19.6663
dfire,16,-4.491,-8.856,11.659,4.7,4.7,0.0,18.981,20.8556
dfire,17,-0.218,9.922,6.546,4.7,4.7,0.0,19.3107,19.2158
dfire,18,-0.955,0.542,5.352,4.7,4.7,0.0,18.787,19.8093
dfire,19,-11.187,6.316,10.29,4.7,4.7,0.0,18.0736,19.7083
dfire,20,-0.554,1.853,7.064,4.7,4.7,0.0,21.4788,32.2095
dfire,21,1.369,-5.247,3.232,4.7,4.7,0.0,31.813,21.1656
dfire,22,0.07,-5.888,11.303,4.7,4.7,0.0,21.9948,18.7345
dfire,23,-8.225,5.265,-11.431,4.7,4.7,0.0,19.1826,19.4411
dfire,24,4.404,6.321,12.233,4.7,4.7,0.0,19.6922,19.8123
dfire,25,2.91,-14.49,-3.315,4.7,4.7,0.0,19.0651,18.6552
dfire,26,9.549,-16.666,0.679,4.7,4.7,0.0,21.0788,19.3241
dfire,27,5.917,21.6,-2.128,4.7,4.7,0.0,18.6263,18.8109
dfire,28,-2.328,1.908,-0.602,4.7,4.7,0.0,22.4788,20.2186
dfire,29,1.98,-2.287,-3.209,4.7,4.7,0.0,21.5686,19.2763
dfire,30,-1.564,1.008,-6.45,4.7,4.7,0.0,18.5494,19.7844
dfire2,0,0.0,0.0,0.0,-83.695968,-83.695968,0.0,10.9379,11.0515
dfire2,1,2.494,-2.851,-2.208,-83.695968,-83.695968,0.0,10.5175,11.3865
dfire2,2,-18.145,-1.982,-12.084,-83.695968,-83.695968,0.0,10.378,10.1164
dfire2,3,4.739,-4.75,-13.317,-83.695968,-83.695968,0.0,11.8749,11.4605
dfire2,4,-1.08,-0.59,23.956,-83.695968,-83.695968,0.0,10.0531,10.458
