method,bit_identical,max_rel_dev,rmsd,spearman,pearson,kendall,verdict,n_valid,median_ms_base,median_ms_grid,speedup_per_pose
dfire,True,0.0,0.0,nan,nan,nan,bit-identical,31,15.524125,15.327749999999973,1.0128117303583388
dfire2,True,0.0,0.0,nan,nan,nan,bit-identical,31,9.738833000000113,9.26520799999997,1.0511186581024565
dna,False,0.08896396296947179,2.735420947860358,1.0,0.9999983044375979,1.0,CHECK,31,7.343042000002242,1158.1951250000025,0.00634007331018789
mj3h,True,0.0,0.0,nan,nan,nan,bit-identical,31,4.689458000001423,4.742666999995038,0.9887807851587155
pydock,False,0.16084180683064134,2.735420919997708,1.0,0.9999807361192411,1.0,CHECK,31,6.599624999999776,1119.1403749999936,0.005897048437734913
cpydock,False,2.405341656838763,2.735420904575582,0.9879032258064516,0.9965133912457087,0.9311827956989247,CHECK,31,23.242209000002845,1181.1659999999904,0.019677343404739922
sd,True,0.0,0.0,1.0,1.0,1.0,bit-identical,29,6.894458999994413,6.692083000004345,1.0302411072890065
vdw,True,0.0,0.0,1.0,1.0000000000000002,1.0,bit-identical,29,5.197582999997508,5.277540999998109,0.984849383453273
pisa,True,0.0,0.0,nan,nan,nan,bit-identical,31,4.994374999995443,5.138375000001361,0.9719755759348279
sipper,True,0.0,0.0,nan,nan,nan,bit-identical,31,4.965416999993977,4.940500000003567,1.0050434166562883
tobi,True,0.0,0.0,nan,nan,nan,bit-identical,31,4.249083000004816,4.615459000007149,0.9206198126769698
ddna,True,0.0,0.0,1.0,1.0,1.0,bit-identical,31,5.250083000007066,5.161624999999503,1.017137626233516
