method,bit_identical,max_rel_dev,rmsd,spearman,pearson,kendall,verdict,n_valid,median_ms_base,median_ms_grid,speedup_per_pose
dfire,True,0.0,0.0,nan,nan,nan,bit-identical,31,19.451791999017587,19.44112500132178,1.0005486821207663
dfire2,True,0.0,0.0,nan,nan,nan,bit-identical,31,10.945209000055911,11.051458999645547,0.9903858848326683
dna,False,0.24550253810137188,4.0939571428948245,1.0,0.9999961256188021,1.0,CHECK,31,8.77191700055846,271.68779199928395,0.03228675435141223
mj3h,True,0.0,0.0,nan,nan,nan,bit-identical,31,6.529582999064587,6.586041999980807,0.9914274763330716
pydock,False,0.23486418822317134,4.093957186077549,1.0,0.9999559613205881,1.0,CHECK,31,8.39095800074574,273.29029100110347,0.03070346176590613
cpydock,False,2.166379596875308,4.093956990152374,0.9770161290322581,0.9919980541523639,0.9010752688172043,CHECK,31,25.32808300020406,288.24312500000815,0.08787055372163116
sd,True,0.0,0.0,1.0,1.0000000000000002,1.0,bit-identical,29,9.0709579999384,8.739124999920023,1.0379709639147414
vdw,True,0.0,0.0,1.0,1.0000000000000002,1.0,bit-identical,29,7.531875000495347,7.706459000473842,0.9773457563366313
pisa,True,0.0,0.0,nan,nan,nan,bit-identical,31,5.933500000537606,6.367125000906526,0.9318962639641625
sipper,True,0.0,0.0,nan,nan,nan,bit-identical,31,5.63454199982516,5.859291999513516,0.9616421233645607
tobi,True,0.0,0.0,nan,nan,nan,bit-identical,31,5.856916000993806,5.939250000665197,0.9861373069559002
ddna,True,0.0,0.0,1.0,1.0000000000000002,1.0,bit-identical,31,7.159666998632019,7.322542000110843,0.9777570410007401
