method,pose,tx,ty,tz,exact,grid,diff
dfire,0,0.0,0.0,0.0,4.7,4.7,0.0
dfire,1,2.494,-2.851,-2.208,4.7,4.7,0.0
dfire,2,-18.145,-1.982,-12.084,4.7,4.7,0.0
dfire,3,4.739,-4.75,-13.317,4.7,4.7,0.0
dfire,4,-1.08,-0.59,23.956,4.7,4.7,0.0
dfire,5,4.69,1.493,4.73,4.7,4.7,0.0
dfire,6,-0.246,1.486,3.166,4.7,4.7,0.0
dfire,7,3.704,-1.518,-0.543,4.7,4.7,0.0
dfire,8,2.228,1.098,-1.144,4.7,4.7,0.0
dfire,9,-16.055,-0.431,10.143,4.7,4.7,0.0
dfire,10,-0.262,0.804,2.018,4.7,4.7,0.0
dfire,11,1.641,-3.143,-3.191,4.7,4.7,0.0
dfire,12,4.066,3.593,4.868,4.7,4.7,0.0
dfire,13,0.65,6.785,9.923,4.7,4.7,0.0
dfire,14,-3.1,3.333,9.533,4.7,4.7,0.0
dfire,15,-2.423,-5.175,0.131,4.7,4.7,0.0
dfire,16,-4.491,-8.856,11.659,4.7,4.7,0.0
dfire,17,-0.218,9.922,6.546,4.7,4.7,0.0
dfire,18,-0.955,0.542,5.352,4.7,4.7,0.0
dfire,19,-11.187,6.316,10.29,4.7,4.7,0.0
dfire,20,-0.554,1.853,7.064,4.7,4.7,0.0
dfire,21,1.369,-5.247,3.232,4.7,4.7,0.0
dfire,22,0.07,-5.888,11.303,4.7,4.7,0.0
dfire,23,-8.225,5.265,-11.431,4.7,4.7,0.0
dfire,24,4.404,6.321,12.233,4.7,4.7,0.0
dfire,25,2.91,-14.49,-3.315,4.7,4.7,0.0
dfire,26,9.549,-16.666,0.679,4.7,4.7,0.0
dfire,27,5.917,21.6,-2.128,4.7,4.7,0.0
dfire,28,-2.328,1.908,-0.602,4.7,4.7,0.0
dfire,29,1.98,-2.287,-3.209,4.7,4.7,0.0
dfire,30,-1.564,1.008,-6.45,4.7,4.7,0.0
dfire2,0,0.0,0.0,0.0,-83.695968,-83.695968,0.0
dfire2,1,2.494,-2.851,-2.208,-83.695968,-83.695968,0.0
dfire2,2,-18.145,-1.982,-12.084,-83.695968,-83.695968,0.0
dfire2,3,4.739,-4.75,-13.317,-83.695968,-83.695968,0.0
dfire2,4,-1.08,-0.59,23.956,-83.695968,-83.695968,0.0
dfire2,5,4.69,1.493,4.73,-83.695968,-83.695968,0.0
dfire2,6,-0.246,1.486,3.166,-83.695968,-83.695968,0.0
dfire2,7,3.704,-1.518,-0.543,-83.695968,-83.695968,0.0
dfire2,8,2.228,1.098,-1.144,-83.695968,-83.695968,0.0
dfire2,9,-16.055,-0.431,10.143,-83.695968,-83.695968,0.0
dfire2,10,-0.262,0.804,2.018,-83.695968,-83.695968,0.0
dfire2,11,1.641,-3.143,-3.191,-83.695968,-83.695968,0.0
dfire2,12,4.066,3.593,4.868,-83.695968,-83.695968,0.0
dfire2,13,0.65,6.785,9.923,-83.695968,-83.695968,0.0
dfire2,14,-3.1,3.333,9.533,-83.695968,-83.695968,0.0
dfire2,15,-2.423,-5.175,0.131,-83.695968,-83.695968,0.0
dfire2,16,-4.491,-8.856,11.659,-83.695968,-83.695968,0.0
dfire2,17,-0.218,9.922,6.546,-83.695968,-83.695968,0.0
dfire2,18,-0.955,0.542,5.352,-83.695968,-83.695968,0.0
dfire2,19,-11.187,6.316,10.29,-83.695968,-83.695968,0.0
dfire2,20,-0.554,1.853,7.064,-83.695968,-83.695968,0.0
dfire2,21,1.369,-5.247,3.232,-83.695968,-83.695968,0.0
dfire2,22,0.07,-5.888,11.303,-83.695968,-83.695968,0.0
dfire2,23,-8.225,5.265,-11.431,-83.695968,-83.695968,0.0
dfire2,24,4.404,6.321,12.233,-83.695968,-83.695968,0.0
dfire2,25,2.91,-14.49,-3.315,-83.695968,-83.695968,0.0
dfire2,26,9.549,-16.666,0.679,-83.695968,-83.695968,0.0
dfire2,27,5.917,21.6,-2.128,-83.695968,-83.695968,0.0
dfire2,28,-2.328,1.908,-0.602,-83.695968,-83.695968,0.0
dfire2,29,1.98,-2.287,-3.209,-83.695968,-83.695968,0.0
dfire2,30,-1.564,1.008,-6.45,-83.695968,-83.695968,0.0
dna,0,0.0,0.0,0.0,-1210.863489,-1211.671876,-0.8083870000000388
dna,1,2.494,-2.851,-2.208,-1908.458049,-1907.414995,1.0430539999999837
dna,2,-18.145,-1.982,-12.084,7.380975,7.321817,-0.059158000000000044
dna,3,4.739,-4.75,-13.317,-60.299721,-57.891891,2.407829999999997
dna,4,-1.08,-0.59,23.956,-1899.423122,-1900.280957,-0.8578350000000228
dna,5,4.69,1.493,4.73,-1590.145797,-1587.64141,2.5043869999999515
dna,6,-0.246,1.486,3.166,-1688.984224,-1691.51419,-2.5299660000000586
dna,7,3.704,-1.518,-0.543,-1576.088435,-1574.077221,2.0112139999998817
dna,8,2.228,1.098,-1.144,19.429681,20.052657,0.6229760000000013
dna,9,-16.055,-0.431,10.143,-125.594765,-129.057922,-3.4631569999999954
dna,10,-0.262,0.804,2.018,-3617.384238,-3620.264974,-2.88073600000007
dna,11,1.641,-3.143,-3.191,-1300.578667,-1300.626778,-0.04811100000006263
dna,12,4.066,3.593,4.868,-1885.134947,-1889.701838,-4.566890999999941
dna,13,0.65,6.785,9.923,-2845.101889,-2844.051442,1.0504470000000765
dna,14,-3.1,3.333,9.533,-1717.24618,-1714.348455,2.8977250000000367
dna,15,-2.423,-5.175,0.131,-2395.097098,-2397.663104,-2.5660060000000158
dna,16,-4.491,-8.856,11.659,-1607.51353,-1603.870297,3.6432330000000093
dna,17,-0.218,9.922,6.546,-1045.442243,-1048.075236,-2.632992999999942
dna,18,-0.955,0.542,5.352,-3538.896184,-3540.848593,-1.9524089999999887
dna,19,-11.187,6.316,10.29,-1033.121934,-1033.001005,0.12092899999993278
dna,20,-0.554,1.853,7.064,-6335.988402,-6339.848907,-3.860504999999648
dna,21,1.369,-5.247,3.232,-3504.42208,-3509.003363,-4.581282999999985
dna,22,0.07,-5.888,11.303,-4983.011478,-4976.07483,6.936648000000787
dna,23,-8.225,5.265,-11.431,4.529452,4.126494,-0.4029579999999999
dna,24,4.404,6.321,12.233,-2246.761287,-2249.724218,-2.962931000000026
dna,25,2.91,-14.49,-3.315,-1108.605168,-1109.995246,-1.3900779999999031
dna,26,9.549,-16.666,0.679,-1414.391593,-1415.562453,-1.1708599999999478
dna,27,5.917,21.6,-2.128,-133.127357,-132.806675,0.3206819999999766
dna,28,-2.328,1.908,-0.602,-650.933934,-654.09908,-3.165145999999936
dna,29,1.98,-2.287,-3.209,-1348.791423,-1351.876635,-3.0852120000001833
dna,30,-1.564,1.008,-6.45,-625.638006,-622.569874,3.0681319999999914
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0
