method,pose,tx,ty,tz,exact,grid,diff
dfire,0,0.0,0.0,0.0,4.7,4.7,0.0
dfire,1,2.494,-2.851,-2.208,4.7,4.7,0.0
dfire,2,-18.145,-1.982,-12.084,4.7,4.7,0.0
dfire,3,4.739,-4.75,-13.317,4.7,4.7,0.0
dfire,4,-1.08,-0.59,23.956,4.7,4.7,0.0
dfire,5,4.69,1.493,4.73,4.7,4.7,0.0
dfire,6,-0.246,1.486,3.166,4.7,4.7,0.0
dfire,7,3.704,-1.518,-0.543,4.7,4.7,0.0
dfire,8,2.228,1.098,-1.144,4.7,4.7,0.0
dfire,9,-16.055,-0.431,10.143,4.7,4.7,0.0
dfire,10,-0.262,0.804,2.018,4.7,4.7,0.0
dfire,11,1.641,-3.143,-3.191,4.7,4.7,0.0
dfire,12,4.066,3.593,4.868,4.7,4.7,0.0
dfire,13,0.65,6.785,9.923,4.7,4.7,0.0
dfire,14,-3.1,3.333,9.533,4.7,4.7,0.0
dfire,15,-2.423,-5.175,0.131,4.7,4.7,0.0
dfire,16,-4.491,-8.856,11.659,4.7,4.7,0.0
dfire,17,-0.218,9.922,6.546,4.7,4.7,0.0
dfire,18,-0.955,0.542,5.352,4.7,4.7,0.0
dfire,19,-11.187,6.316,10.29,4.7,4.7,0.0
dfire,20,-0.554,1.853,7.064,4.7,4.7,0.0
dfire,21,1.369,-5.247,3.232,4.7,4.7,0.0
dfire,22,0.07,-5.888,11.303,4.7,4.7,0.0
dfire,23,-8.225,5.265,-11.431,4.7,4.7,0.0
dfire,24,4.404,6.321,12.233,4.7,4.7,0.0
dfire,25,2.91,-14.49,-3.315,4.7,4.7,0.0
dfire,26,9.549,-16.666,0.679,4.7,4.7,0.0
dfire,27,5.917,21.6,-2.128,4.7,4.7,0.0
dfire,28,-2.328,1.908,-0.602,4.7,4.7,0.0
dfire,29,1.98,-2.287,-3.209,4.7,4.7,0.0
dfire,30,-1.564,1.008,-6.45,4.7,4.7,0.0
dfire2,0,0.0,0.0,0.0,-83.695968,-83.695968,0.0
dfire2,1,2.494,-2.851,-2.208,-83.695968,-83.695968,0.0
dfire2,2,-18.145,-1.982,-12.084,-83.695968,-83.695968,0.0
dfire2,3,4.739,-4.75,-13.317,-83.695968,-83.695968,0.0
dfire2,4,-1.08,-0.59,23.956,-83.695968,-83.695968,0.0
dfire2,5,4.69,1.493,4.73,-83.695968,-83.695968,0.0
dfire2,6,-0.246,1.486,3.166,-83.695968,-83.695968,0.0
dfire2,7,3.704,-1.518,-0.543,-83.695968,-83.695968,0.0
dfire2,8,2.228,1.098,-1.144,-83.695968,-83.695968,0.0
dfire2,9,-16.055,-0.431,10.143,-83.695968,-83.695968,0.0
dfire2,10,-0.262,0.804,2.018,-83.695968,-83.695968,0.0
dfire2,11,1.641,-3.143,-3.191,-83.695968,-83.695968,0.0
dfire2,12,4.066,3.593,4.868,-83.695968,-83.695968,0.0
dfire2,13,0.65,6.785,9.923,-83.695968,-83.695968,0.0
dfire2,14,-3.1,3.333,9.533,-83.695968,-83.695968,0.0
dfire2,15,-2.423,-5.175,0.131,-83.695968,-83.695968,0.0
dfire2,16,-4.491,-8.856,11.659,-83.695968,-83.695968,0.0
dfire2,17,-0.218,9.922,6.546,-83.695968,-83.695968,0.0
dfire2,18,-0.955,0.542,5.352,-83.695968,-83.695968,0.0
dfire2,19,-11.187,6.316,10.29,-83.695968,-83.695968,0.0
dfire2,20,-0.554,1.853,7.064,-83.695968,-83.695968,0.0
dfire2,21,1.369,-5.247,3.232,-83.695968,-83.695968,0.0
dfire2,22,0.07,-5.888,11.303,-83.695968,-83.695968,0.0
dfire2,23,-8.225,5.265,-11.431,-83.695968,-83.695968,0.0
dfire2,24,4.404,6.321,12.233,-83.695968,-83.695968,0.0
dfire2,25,2.91,-14.49,-3.315,-83.695968,-83.695968,0.0
dfire2,26,9.549,-16.666,0.679,-83.695968,-83.695968,0.0
dfire2,27,5.917,21.6,-2.128,-83.695968,-83.695968,0.0
dfire2,28,-2.328,1.908,-0.602,-83.695968,-83.695968,0.0
dfire2,29,1.98,-2.287,-3.209,-83.695968,-83.695968,0.0
dfire2,30,-1.564,1.008,-6.45,-83.695968,-83.695968,0.0
dna,0,0.0,0.0,0.0,-1210.863489,-1212.377835,-1.5143459999999322
dna,1,2.494,-2.851,-2.208,-1908.458049,-1909.126642,-0.6685929999998734
dna,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371
dna,3,4.739,-4.75,-13.317,-60.299721,-56.890522,3.409199000000001
dna,4,-1.08,-0.59,23.956,-1899.423122,-1901.590777,-2.167654999999968
dna,5,4.69,1.493,4.73,-1590.145797,-1586.567486,3.578310999999985
dna,6,-0.246,1.486,3.166,-1688.984224,-1689.388644,-0.40442000000007283
dna,7,3.704,-1.518,-0.543,-1576.088435,-1571.05939,5.029044999999996
dna,8,2.228,1.098,-1.144,19.429681,24.199717,4.770036000000001
dna,9,-16.055,-0.431,10.143,-125.594765,-127.737678,-2.142913000000007
dna,10,-0.262,0.804,2.018,-3617.384238,-3620.614073,-3.2298350000000937
dna,11,1.641,-3.143,-3.191,-1300.578667,-1303.906198,-3.327530999999908
dna,12,4.066,3.593,4.868,-1885.134947,-1893.449332,-8.314384999999902
dna,13,0.65,6.785,9.923,-2845.101889,-2844.135512,0.9663770000001932
dna,14,-3.1,3.333,9.533,-1717.24618,-1713.094718,4.151462000000038
dna,15,-2.423,-5.175,0.131,-2395.097098,-2400.184968,-5.087869999999839
dna,16,-4.491,-8.856,11.659,-1607.51353,-1601.20917,6.3043599999998605
dna,17,-0.218,9.922,6.546,-1045.442243,-1046.970745,-1.5285020000001168
dna,18,-0.955,0.542,5.352,-3538.896184,-3540.920776,-2.024591999999757
dna,19,-11.187,6.316,10.29,-1033.121934,-1032.582166,0.5397680000000946
dna,20,-0.554,1.853,7.064,-6335.988402,-6338.349581,-2.3611790000004476
dna,21,1.369,-5.247,3.232,-3504.42208,-3510.58387,-6.16179000000011
dna,22,0.07,-5.888,11.303,-4983.011478,-4973.41104,9.600438000000395
dna,23,-8.225,5.265,-11.431,4.529452,4.235381,-0.29407099999999975
dna,24,4.404,6.321,12.233,-2246.761287,-2251.401207,-4.639920000000075
dna,25,2.91,-14.49,-3.315,-1108.605168,-1111.152866,-2.547697999999855
dna,26,9.549,-16.666,0.679,-1414.391593,-1418.779598,-4.388005000000021
dna,27,5.917,21.6,-2.128,-133.127357,-132.79708,0.33027699999999527
dna,28,-2.328,1.908,-0.602,-650.933934,-654.567847,-3.633913000000007
dna,29,1.98,-2.287,-3.209,-1348.791423,-1355.056344,-6.264921000000186
dna,30,-1.564,1.008,-6.45,-625.638006,-621.588751,4.0492550000000165
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0
mj3h,7,3.704,-1.518,-0.543,-0.0,-0.0,0.0
mj3h,8,2.228,1.098,-1.144,-0.0,-0.0,0.0
mj3h,9,-16.055,-0.431,10.143,-0.0,-0.0,0.0
mj3h,10,-0.262,0.804,2.018,-0.0,-0.0,0.0
mj3h,11,1.641,-3.143,-3.191,-0.0,-0.0,0.0
mj3h,12,4.066,3.593,4.868,-0.0,-0.0,0.0
mj3h,13,0.65,6.785,9.923,-0.0,-0.0,0.0
mj3h,14,-3.1,3.333,9.533,-0.0,-0.0,0.0
mj3h,15,-2.423,-5.175,0.131,-0.0,-0.0,0.0
mj3h,16,-4.491,-8.856,11.659,-0.0,-0.0,0.0
mj3h,17,-0.218,9.922,6.546,-0.0,-0.0,0.0
mj3h,18,-0.955,0.542,5.352,-0.0,-0.0,0.0
mj3h,19,-11.187,6.316,10.29,-0.0,-0.0,0.0
mj3h,20,-0.554,1.853,7.064,-0.0,-0.0,0.0
mj3h,21,1.369,-5.247,3.232,-0.0,-0.0,0.0
mj3h,22,0.07,-5.888,11.303,-0.0,-0.0,0.0
mj3h,23,-8.225,5.265,-11.431,-0.0,-0.0,0.0
mj3h,24,4.404,6.321,12.233,-0.0,-0.0,0.0
mj3h,25,2.91,-14.49,-3.315,-0.0,-0.0,0.0
