method,pose,tx,ty,tz,exact,grid,diff,ms_base,ms_grid
dfire,0,0.0,0.0,0.0,4.7,4.7,0.0,18.6348,32.2136
dfire,1,2.494,-2.851,-2.208,4.7,4.7,0.0,18.1359,18.6169
dfire,2,-18.145,-1.982,-12.084,4.7,4.7,0.0,23.212,21.6541
dfire,3,4.739,-4.75,-13.317,4.7,4.7,0.0,20.6544,18.8869
dfire,4,-1.08,-0.59,23.956,4.7,4.7,0.0,19.1928,18.7919
dfire,5,4.69,1.493,4.73,4.7,4.7,0.0,20.0795,18.7177
dfire,6,-0.246,1.486,3.166,4.7,4.7,0.0,18.062,18.2368
dfire2,0,0.0,0.0,0.0,-83.695968,-83.695968,0.0,9.6513,25.4506
dfire2,1,2.494,-2.851,-2.208,-83.695968,-83.695968,0.0,9.7579,10.2768
dfire2,2,-18.145,-1.982,-12.084,-83.695968,-83.695968,0.0,10.33,8.9808
dfire2,3,4.739,-4.75,-13.317,-83.695968,-83.695968,0.0,9.9951,9.6632
dfire2,4,-1.08,-0.59,23.956,-83.695968,-83.695968,0.0,10.222,10.8004
dfire2,5,4.69,1.493,4.73,-83.695968,-83.695968,0.0,9.1189,10.8495
dfire2,6,-0.246,1.486,3.166,-83.695968,-83.695968,0.0,10.0253,9.5902
dna,0,0.0,0.0,0.0,-1210.863489,-1212.377835,-1.5143459999999322,7.8978,261.4627
dna,1,2.494,-2.851,-2.208,-1908.458049,-1909.126642,-0.6685929999998734,8.208,257.0574
dna,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371,7.7479,261.2885
dna,3,4.739,-4.75,-13.317,-60.299721,-56.890522,3.409199000000001,8.5273,264.3437
dna,4,-1.08,-0.59,23.956,-1899.423122,-1901.590777,-2.167654999999968,7.8011,263.717
dna,5,4.69,1.493,4.73,-1590.145797,-1586.567486,3.578310999999985,8.8859,269.3667
dna,6,-0.246,1.486,3.166,-1688.984224,-1689.388644,-0.40442000000007283,7.8109,265.8169
mj3h,0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.2204,6.9645
mj3h,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.0512,5.8056
mj3h,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.984,5.6151
mj3h,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,7.4465,6.6903
mj3h,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,6.7574,6.61
mj3h,5,4.69,1.493,4.73,-0.0,-0.0,0.0,5.5781,7.0498
mj3h,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,6.4845,7.0447
pydock,0,0.0,0.0,0.0,-364.881264,-366.39561,-1.514345999999989,8.3253,269.497
pydock,1,2.494,-2.851,-2.208,-567.148266,-567.816859,-0.6685929999999871,7.1043,254.258
pydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371,5.9301,260.3221
pydock,3,4.739,-4.75,-13.317,15.687384,19.096584,3.4092000000000002,8.2193,252.3121
pydock,4,-1.08,-0.59,23.956,-588.172918,-590.340572,-2.1676539999999704,7.0674,288.9693
pydock,5,4.69,1.493,4.73,-422.480235,-418.901924,3.578310999999985,8.2151,259.7814
pydock,6,-0.246,1.486,3.166,-534.337672,-534.742092,-0.40441999999995915,8.4773,262.792
cpydock,0,0.0,0.0,0.0,9.064345,7.549998,-1.514346999999999,24.4555,276.6973
cpydock,1,2.494,-2.851,-2.208,-18.342355,-19.010948,-0.6685929999999978,23.6468,280.7275
cpydock,2,-18.145,-1.982,-12.084,7.380975,6.070604,-1.310371,24.0966,275.2987
cpydock,3,4.739,-4.75,-13.317,15.136946,18.546146,3.4092000000000002,23.4603,317.3004
cpydock,4,-1.08,-0.59,23.956,-52.694522,-54.862176,-2.167653999999999,26.4782,304.3476
cpydock,5,4.69,1.493,4.73,1.651747,5.230058,3.5783109999999994,68.8952,296.6421
cpydock,6,-0.246,1.486,3.166,-30.620205,-31.024625,-0.4044200000000018,26.6696,291.099
sd,0,0.0,0.0,0.0,-2364375385.24356,-2364375385.24356,0.0,9.7329,8.9379
sd,1,2.494,-2.851,-2.208,-4220188891.378708,-4220188891.378708,0.0,9.2136,10.0506
sd,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.6399,8.6891
sd,3,4.739,-4.75,-13.317,-286299166.715166,-286299166.715166,0.0,8.7264,8.8896
sd,4,-1.08,-0.59,23.956,-8209084532.734874,-8209084532.734874,0.0,8.3416,9.3799
sd,5,4.69,1.493,4.73,-3873555351.430822,-3873555351.430822,0.0,8.2134,10.0166
sd,6,-0.246,1.486,3.166,-5019242351.233768,-5019242351.233768,0.0,8.7474,11.699
vdw,0,0.0,0.0,0.0,-428.772414,-428.772414,0.0,10.2856,9.1519
vdw,1,2.494,-2.851,-2.208,-625.448317,-625.448317,0.0,8.4667,6.6285
vdw,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.34,6.9827
vdw,3,4.739,-4.75,-13.317,-15.072403,-15.072403,0.0,6.7668,7.6225
vdw,4,-1.08,-0.59,23.956,-628.346633,-628.346633,0.0,7.1965,7.5192
vdw,5,4.69,1.493,4.73,-484.260658,-484.260658,0.0,6.5756,7.4602
vdw,6,-0.246,1.486,3.166,-581.495677,-581.495677,0.0,9.7108,7.5285
pisa,0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.4557,5.5676
pisa,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,8.194,6.939
pisa,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,6.9547,6.058
pisa,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,6.372,6.1815
pisa,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,5.6294,7.0248
pisa,5,4.69,1.493,4.73,-0.0,-0.0,0.0,6.8788,6.9395
pisa,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,6.3303,5.4415
sipper,0,0.0,0.0,0.0,-0.0,-0.0,0.0,6.6983,7.0335
sipper,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,6.9832,6.5139
sipper,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,5.7719,6.7864
sipper,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,6.2448,6.0639
sipper,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,7.1242,6.6465
sipper,5,4.69,1.493,4.73,-0.0,-0.0,0.0,6.8002,6.5043
sipper,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,5.231,6.1213
tobi,0,0.0,0.0,0.0,-0.0,-0.0,0.0,7.1953,8.0856
tobi,1,2.494,-2.851,-2.208,-0.0,-0.0,0.0,5.9471,6.2549
tobi,2,-18.145,-1.982,-12.084,-0.0,-0.0,0.0,7.5148,7.0013
tobi,3,4.739,-4.75,-13.317,-0.0,-0.0,0.0,8.3544,6.802
tobi,4,-1.08,-0.59,23.956,-0.0,-0.0,0.0,7.3372,7.1552
tobi,5,4.69,1.493,4.73,-0.0,-0.0,0.0,5.7798,7.5639
tobi,6,-0.246,1.486,3.166,-0.0,-0.0,0.0,7.5252,8.6323
ddna,0,0.0,0.0,0.0,6.324043,6.324043,0.0,7.1295,9.2581
ddna,1,2.494,-2.851,-2.208,5.994904,5.994904,0.0,8.2978,8.3792
ddna,2,-18.145,-1.982,-12.084,5.4738,5.4738,0.0,7.4497,7.7693
ddna,3,4.739,-4.75,-13.317,5.667179,5.667179,0.0,7.6438,7.6334
ddna,4,-1.08,-0.59,23.956,6.029165,6.029165,0.0,8.425,9.7175
ddna,5,4.69,1.493,4.73,6.005472,6.005472,0.0,8.2231,8.1029
ddna,6,-0.246,1.486,3.166,6.046573,6.046573,0.0,8.5387,8.8692
