method,bit_identical,max_rel_dev,rmsd,spearman,pearson,kendall,verdict,n_valid,median_ms_base,median_ms_grid,speedup_per_pose
dfire,True,0.0,0.0,nan,nan,nan,bit-identical,7,19.19275000000198,18.79187499980617,1.0213323577450333
dfire2,True,0.0,0.0,nan,nan,nan,bit-identical,7,9.995082999012084,10.276833001626073,0.9725839660360921
dna,False,0.17753359142931657,2.195663379571925,0.9999999999999999,0.9999962249528423,1.0,CHECK,7,7.897792000221671,263.7169579993497,0.02994798688767351
mj3h,True,0.0,0.0,nan,nan,nan,bit-identical,7,6.220375000339118,6.690250000247033,0.9297671985515391
pydock,False,0.21732112887655458,2.1956634603509673,0.9999999999999999,0.9999636817997346,1.0,CHECK,7,8.215125000788248,260.32212500103924,0.03155753665100672
cpydock,False,2.166379596875308,2.1956635588793776,0.9999999999999999,0.9970070204769461,1.0,CHECK,7,24.45554099904257,291.0990000000311,0.08401107870188478
sd,True,0.0,0.0,1.0,1.0000000000000002,1.0,bit-identical,6,8.72637499924167,9.37987500037707,0.9303295618428681
vdw,True,0.0,0.0,1.0,1.0,1.0,bit-identical,6,7.340000000112923,7.519208000303479,0.9761666388024746
pisa,True,0.0,0.0,nan,nan,nan,bit-identical,7,6.455707998611615,6.1814999990019714,1.0443594596220847
sipper,True,0.0,0.0,nan,nan,nan,bit-identical,7,6.698332999803824,6.513874999654945,1.028317706458698
tobi,True,0.0,0.0,nan,nan,nan,bit-identical,7,7.337167000514455,7.155208000767743,1.0254302879423194
ddna,True,0.0,0.0,0.9999999999999999,1.0,1.0,bit-identical,7,8.223082999393228,8.379249999052263,0.9813626518272281
