method,steps,base_s,grid_s,speedup,base_best,grid_best,best_rel_delta,err
dfire,100,0.0378,0.0404,0.936,4.7,4.7,0.0,
dfire2,100,0.0256,0.0293,0.875,-83.696,-83.696,0.0,
dna,100,0.5544,1.1555,0.48,-3963.7524,-3956.927,0.001722,
mj3h,100,0.0103,0.0115,0.897,-0.0,-0.0,0.0,
pydock,100,0.428,1.1151,0.384,-1146.4969,-1147.8504,0.001181,
cpydock,100,0.6977,1.4353,0.486,-88.7601,-92.3699,0.040669,
sd,100,0.7123,0.7712,0.924,-13064249623.1874,-13064249623.1874,0.0,
vdw,100,0.1652,0.1106,1.494,-1219.1469,-1219.1469,0.0,
pisa,100,0.0118,0.0145,0.811,-0.0,-0.0,0.0,
sipper,100,0.0109,0.0138,0.789,-0.0,-0.0,0.0,
tobi,100,0.0113,0.0143,0.788,-0.0,-0.0,0.0,
ddna,100,0.1311,0.15,0.874,5.3665,5.3665,0.0,
