method,steps,base_s,grid_s,speedup,base_best,grid_best,best_rel_delta,err
dfire,100,0.0323,0.0229,1.41,4.7,4.7,0.0,
dfire2,100,0.0473,0.0514,0.92,-83.696,-83.696,0.0,
dna,100,0.9046,0.488,1.854,-3963.7524,-3956.4476,0.001843,
mj3h,100,0.0122,0.0139,0.876,-0.0,-0.0,0.0,
pydock,100,0.9579,0.8811,1.087,-1146.4969,-1141.9307,0.003983,
cpydock,100,1.1762,0.989,1.189,-88.7601,-86.882,0.02116,
sd,100,1.4628,1.5507,0.943,-13064249623.1874,-13064249623.1874,0.0,
vdw,100,0.3605,0.2831,1.273,-1219.1469,-1219.1469,0.0,
pisa,100,0.035,0.0151,2.324,-0.0,-0.0,0.0,
sipper,100,0.013,0.0144,0.903,-0.0,-0.0,0.0,
tobi,100,0.0117,0.032,0.366,-0.0,-0.0,0.0,
ddna,100,0.4975,0.2251,2.21,5.3665,5.3665,0.0,
