method,pose,tx,ty,tz,score
dna,0,0.000000,0.000000,0.000000,-1211.671855
pydock,0,0.000000,0.000000,0.000000,-365.689651
cpydock,0,0.000000,0.000000,0.000000,8.255958
dna,1,2.493651,-2.850623,-2.208284,-1907.414813
pydock,1,2.493651,-2.850623,-2.208284,-566.105212
cpydock,1,2.493651,-2.850623,-2.208284,-17.299301
dna,2,-18.145072,-1.982253,-12.084269,7.321815
pydock,2,-18.145072,-1.982253,-12.084269,7.321817
cpydock,2,-18.145072,-1.982253,-12.084269,7.321817
dna,3,4.738733,-4.750274,-13.316767,-57.891918
pydock,3,4.738733,-4.750274,-13.316767,18.095215
cpydock,3,4.738733,-4.750274,-13.316767,17.544777
dna,4,-1.079827,-0.590268,23.955795,-1900.280895
pydock,4,-1.079827,-0.590268,23.955795,-589.030753
cpydock,4,-1.079827,-0.590268,23.955795,-53.552357
dna,5,4.690213,1.493029,4.730477,-1587.641343
pydock,5,4.690213,1.493029,4.730477,-419.975848
cpydock,5,4.690213,1.493029,4.730477,4.156134
dna,6,-0.246187,1.485517,3.166381,-1691.514236
pydock,6,-0.246187,1.485517,3.166381,-536.867638
cpydock,6,-0.246187,1.485517,3.166381,-33.150171
dna,7,3.703876,-1.518098,-0.543067,-1574.077204
pydock,7,3.703876,-1.518098,-0.543067,-480.329444
cpydock,7,3.703876,-1.518098,-0.543067,-8.338993
dna,8,2.227659,1.098397,-1.144360,20.052658
pydock,8,2.227659,1.098397,-1.144360,20.932738
cpydock,8,2.227659,1.098397,-1.144360,26.633207
dna,9,-16.055383,-0.431129,10.143446,-129.057936
pydock,9,-16.055383,-0.431129,10.143446,-24.994605
cpydock,9,-16.055383,-0.431129,10.143446,-4.902936
dna,10,-0.262225,0.803934,2.018281,-3620.264794
pydock,10,-0.262225,0.803934,2.018281,-1034.772656
cpydock,10,-0.262225,0.803934,2.018281,-40.827424
dna,11,1.640768,-3.143048,-3.191311,-1300.626679
pydock,11,1.640768,-3.143048,-3.191311,-359.284703
cpydock,11,1.640768,-3.143048,-3.191311,7.419709
dna,12,4.066301,3.593096,4.867855,-1889.701806
pydock,12,4.066301,3.593096,4.867855,-613.444312
cpydock,12,4.066301,3.593096,4.867855,-26.224006
dna,13,0.649558,6.784885,9.923301,-2844.051497
pydock,13,0.649558,6.784885,9.923301,-850.738732
cpydock,13,0.649558,6.784885,9.923301,-51.687316
dna,14,-3.100035,3.333079,9.533310,-1714.348488
pydock,14,-3.100035,3.333079,9.533310,-501.407920
cpydock,14,-3.100035,3.333079,9.533310,-19.033608
dna,15,-2.422931,-5.175180,0.130646,-2397.663047
pydock,15,-2.422931,-5.175180,0.130646,-711.265865
cpydock,15,-2.422931,-5.175180,0.130646,-24.076851
dna,16,-4.490743,-8.856470,11.659027,-1603.870312
pydock,16,-4.490743,-8.856470,11.659027,-474.105962
cpydock,16,-4.490743,-8.856470,11.659027,0.460418
dna,17,-0.218070,9.922097,6.546397,-1048.075185
pydock,17,-0.218070,9.922097,6.546397,-316.052680
cpydock,17,-0.218070,9.922097,6.546397,-6.275515
dna,18,-0.955083,0.541978,5.352345,-3540.848478
pydock,18,-0.955083,0.541978,5.352345,-1071.397930
cpydock,18,-0.955083,0.541978,5.352345,-62.519265
dna,19,-11.186709,6.316005,10.289627,-1033.000962
pydock,19,-11.186709,6.316005,10.289627,-277.040146
cpydock,19,-11.186709,6.316005,10.289627,-15.771285
dna,20,-0.553543,1.852870,7.064394,-6339.848712
pydock,20,-0.553543,1.852870,7.064394,-1857.836803
cpydock,20,-0.553543,1.852870,7.064394,-126.376116
dna,21,1.368645,-5.246900,3.231611,-3509.003332
pydock,21,1.368645,-5.246900,3.231611,-1054.111122
cpydock,21,1.368645,-5.246900,3.231611,-46.985828
dna,22,0.069524,-5.887662,11.302819,-4976.074217
pydock,22,0.069524,-5.887662,11.302819,-1452.104783
cpydock,22,0.069524,-5.887662,11.302819,-71.088769
dna,23,-8.225342,5.264892,-11.430700,4.126496
pydock,23,-8.225342,5.264892,-11.430700,4.126494
cpydock,23,-8.225342,5.264892,-11.430700,4.126494
dna,24,4.404260,6.320573,12.233110,-2249.724272
pydock,24,4.404260,6.320573,12.233110,-631.775784
cpydock,24,4.404260,6.320573,12.233110,-46.321603
dna,25,2.909932,-14.489937,-3.315400,-1109.995288
pydock,25,2.909932,-14.489937,-3.315400,-300.357717
cpydock,25,2.909932,-14.489937,-3.315400,-5.551067
dna,26,9.548741,-16.666126,0.678554,-1415.562444
pydock,26,9.548741,-16.666126,0.678554,-431.876558
cpydock,26,9.548741,-16.666126,0.678554,-20.638676
dna,27,5.916925,21.599527,-2.127590,-132.806650
pydock,27,5.916925,21.599527,-2.127590,-28.440063
cpydock,27,5.916925,21.599527,-2.127590,8.650208
dna,28,-2.327959,1.907859,-0.601743,-654.099103
pydock,28,-2.327959,1.907859,-0.601743,-193.529820
cpydock,28,-2.327959,1.907859,-0.601743,10.763879
dna,29,1.979596,-2.287488,-3.209388,-1351.876659
pydock,29,1.979596,-2.287488,-3.209388,-368.189050
cpydock,29,1.979596,-2.287488,-3.209388,7.214314
dna,30,-1.564350,1.007529,-6.449552,-622.569843
pydock,30,-1.564350,1.007529,-6.449552,-218.635834
cpydock,30,-1.564350,1.007529,-6.449552,10.602067
