method,pose,tx,ty,tz,score
dna,0,0.000000,0.000000,0.000000,-1212.377818
pydock,0,0.000000,0.000000,0.000000,-366.395610
cpydock,0,0.000000,0.000000,0.000000,7.549998
dna,1,2.493651,-2.850623,-2.208284,-1909.126462
pydock,1,2.493651,-2.850623,-2.208284,-567.816859
cpydock,1,2.493651,-2.850623,-2.208284,-19.010948
dna,2,-18.145072,-1.982253,-12.084269,6.070601
pydock,2,-18.145072,-1.982253,-12.084269,6.070604
cpydock,2,-18.145072,-1.982253,-12.084269,6.070604
dna,3,4.738733,-4.750274,-13.316767,-56.890542
pydock,3,4.738733,-4.750274,-13.316767,19.096584
cpydock,3,4.738733,-4.750274,-13.316767,18.546146
dna,4,-1.079827,-0.590268,23.955795,-1901.590721
pydock,4,-1.079827,-0.590268,23.955795,-590.340572
cpydock,4,-1.079827,-0.590268,23.955795,-54.862176
dna,5,4.690213,1.493029,4.730477,-1586.567407
pydock,5,4.690213,1.493029,4.730477,-418.901924
cpydock,5,4.690213,1.493029,4.730477,5.230058
dna,6,-0.246187,1.485517,3.166381,-1689.388695
pydock,6,-0.246187,1.485517,3.166381,-534.742092
cpydock,6,-0.246187,1.485517,3.166381,-31.024625
dna,7,3.703876,-1.518098,-0.543067,-1571.059392
pydock,7,3.703876,-1.518098,-0.543067,-477.311614
cpydock,7,3.703876,-1.518098,-0.543067,-5.321163
dna,8,2.227659,1.098397,-1.144360,24.199700
pydock,8,2.227659,1.098397,-1.144360,25.079799
cpydock,8,2.227659,1.098397,-1.144360,30.780268
dna,9,-16.055383,-0.431129,10.143446,-127.737679
pydock,9,-16.055383,-0.431129,10.143446,-23.674362
cpydock,9,-16.055383,-0.431129,10.143446,-3.582692
dna,10,-0.262225,0.803934,2.018281,-3620.613921
pydock,10,-0.262225,0.803934,2.018281,-1035.121755
cpydock,10,-0.262225,0.803934,2.018281,-41.176523
dna,11,1.640768,-3.143048,-3.191311,-1303.906068
pydock,11,1.640768,-3.143048,-3.191311,-362.564123
cpydock,11,1.640768,-3.143048,-3.191311,4.140289
dna,12,4.066301,3.593096,4.867855,-1893.449299
pydock,12,4.066301,3.593096,4.867855,-617.191806
cpydock,12,4.066301,3.593096,4.867855,-29.971500
dna,13,0.649558,6.784885,9.923301,-2844.135592
pydock,13,0.649558,6.784885,9.923301,-850.822801
cpydock,13,0.649558,6.784885,9.923301,-51.771386
dna,14,-3.100035,3.333079,9.533310,-1713.094734
pydock,14,-3.100035,3.333079,9.533310,-500.154183
cpydock,14,-3.100035,3.333079,9.533310,-17.779871
dna,15,-2.422931,-5.175180,0.130646,-2400.184890
pydock,15,-2.422931,-5.175180,0.130646,-713.787729
cpydock,15,-2.422931,-5.175180,0.130646,-26.598715
dna,16,-4.490743,-8.856470,11.659027,-1601.209170
pydock,16,-4.490743,-8.856470,11.659027,-471.444835
cpydock,16,-4.490743,-8.856470,11.659027,3.121545
dna,17,-0.218070,9.922097,6.546397,-1046.970727
pydock,17,-0.218070,9.922097,6.546397,-314.948188
cpydock,17,-0.218070,9.922097,6.546397,-5.171024
dna,18,-0.955083,0.541978,5.352345,-3540.920669
pydock,18,-0.955083,0.541978,5.352345,-1071.470113
cpydock,18,-0.955083,0.541978,5.352345,-62.591448
dna,19,-11.186709,6.316005,10.289627,-1032.582137
pydock,19,-11.186709,6.316005,10.289627,-276.621306
cpydock,19,-11.186709,6.316005,10.289627,-15.352445
dna,20,-0.553543,1.852870,7.064394,-6338.349391
pydock,20,-0.553543,1.852870,7.064394,-1856.337477
cpydock,20,-0.553543,1.852870,7.064394,-124.876789
dna,21,1.368645,-5.246900,3.231611,-3510.583804
pydock,21,1.368645,-5.246900,3.231611,-1055.691629
cpydock,21,1.368645,-5.246900,3.231611,-48.566335
dna,22,0.069524,-5.887662,11.302819,-4973.410410
pydock,22,0.069524,-5.887662,11.302819,-1449.440993
cpydock,22,0.069524,-5.887662,11.302819,-68.424980
dna,23,-8.225342,5.264892,-11.430700,4.235380
pydock,23,-8.225342,5.264892,-11.430700,4.235381
cpydock,23,-8.225342,5.264892,-11.430700,4.235381
dna,24,4.404260,6.320573,12.233110,-2251.401249
pydock,24,4.404260,6.320573,12.233110,-633.452774
cpydock,24,4.404260,6.320573,12.233110,-47.998593
dna,25,2.909932,-14.489937,-3.315400,-1111.152892
pydock,25,2.909932,-14.489937,-3.315400,-301.515338
cpydock,25,2.909932,-14.489937,-3.315400,-6.708687
dna,26,9.548741,-16.666126,0.678554,-1418.779578
pydock,26,9.548741,-16.666126,0.678554,-435.093703
cpydock,26,9.548741,-16.666126,0.678554,-23.855821
dna,27,5.916925,21.599527,-2.127590,-132.797050
pydock,27,5.916925,21.599527,-2.127590,-28.430468
cpydock,27,5.916925,21.599527,-2.127590,8.659802
dna,28,-2.327959,1.907859,-0.601743,-654.567867
pydock,28,-2.327959,1.907859,-0.601743,-193.998587
cpydock,28,-2.327959,1.907859,-0.601743,10.295112
dna,29,1.979596,-2.287488,-3.209388,-1355.056371
pydock,29,1.979596,-2.287488,-3.209388,-371.368759
cpydock,29,1.979596,-2.287488,-3.209388,4.034605
dna,30,-1.564350,1.007529,-6.449552,-621.588727
pydock,30,-1.564350,1.007529,-6.449552,-217.654711
cpydock,30,-1.564350,1.007529,-6.449552,11.583190
