scoring	case	engine	n_solutions	top1	top5	top10	top20	top50	top100
cpydock	1M27	lk	98	0.0000	0.0000	0.1000	0.0500	0.0204	0.0408
cpydock	1M27	py	98	0.0000	0.0000	0.0000	0.1053	0.0625	0.0408
cpydock	2X9A	lk	98	0.0000	0.0000	0.0000	0.0000	0.0208	0.0306
cpydock	2X9A	py	96	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
dfire	1M27	lk	98	0.0000	0.0000	0.0000	0.1000	0.0408	0.0714
dfire	1M27	py	98	0.0000	0.0000	0.1000	0.1053	0.0417	0.0714
dfire	2X9A	lk	96	0.0000	0.0000	0.0000	0.0000	0.0000	0.0312
dfire	2X9A	py	95	0.0000	0.0000	0.0000	0.0526	0.0417	0.0526
dfire2	1M27	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.1122
dfire2	1M27	py	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0408
dfire2	2X9A	lk	96	0.0000	0.0000	0.0000	0.1053	0.1458	0.1354
dfire2	2X9A	py	95	0.0000	0.0000	0.0000	0.0000	0.0625	0.0632
fastdfire	1M27	lk	97	0.0000	0.0000	0.0000	0.0526	0.0612	0.0619
fastdfire	1M27	py	97	1.0000	0.5000	0.2222	0.1053	0.0612	0.0309
fastdfire	2X9A	lk	97	0.0000	0.6000	0.3000	0.3000	0.2041	0.1443
fastdfire	2X9A	py	98	0.0000	0.0000	0.0000	0.0500	0.0408	0.0918
fastdfire	3A4S	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0303
fastdfire	3A4S	py	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
fastdfire	3PC8	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0306
fastdfire	3PC8	py	100	0.0000	0.2000	0.2000	0.1500	0.0800	0.0500
mj3h	1M27	lk	98	0.0000	0.0000	0.0000	0.0500	0.0600	0.1020
mj3h	1M27	py	97	0.0000	0.0000	0.1000	0.0526	0.0625	0.0928
mj3h	2X9A	lk	96	0.0000	0.0000	0.1111	0.0556	0.0213	0.0417
mj3h	2X9A	py	97	0.0000	0.0000	0.0000	0.0000	0.0426	0.0309
mj3h	3A4S	lk	99	0.0000	0.0000	0.0000	0.0000	0.0400	0.0303
mj3h	3A4S	py	100	0.0000	0.0000	0.0000	0.0000	0.0400	0.0700
mj3h	3PC8	lk	99	0.0000	0.2000	0.1111	0.1579	0.1020	0.1313
mj3h	3PC8	py	98	0.0000	0.0000	0.0000	0.0500	0.0625	0.0918
pisa	1M27	lk	99	0.0000	0.4000	0.3000	0.2500	0.1600	0.1616
pisa	1M27	py	98	0.0000	0.4000	0.3000	0.2500	0.2200	0.1837
pisa	2X9A	lk	96	0.0000	0.2000	0.1000	0.0526	0.0426	0.0208
pisa	2X9A	py	97	0.0000	0.0000	0.0000	0.1500	0.1250	0.1237
pisa	3A4S	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0510
pisa	3A4S	py	98	0.0000	0.0000	0.0000	0.0000	0.0612	0.0612
pisa	3PC8	lk	98	0.0000	0.0000	0.1000	0.0500	0.0204	0.0204
pisa	3PC8	py	98	0.0000	0.0000	0.0000	0.1000	0.1042	0.0816
sd	1M27	lk	97	0.0000	0.2000	0.2000	0.1053	0.1020	0.0619
sd	1M27	py	98	0.0000	0.0000	0.0000	0.1053	0.1837	0.1224
sd	2X9A	lk	98	0.0000	0.0000	0.0000	0.0000	0.0408	0.0714
sd	2X9A	py	99	0.0000	0.2000	0.1000	0.0500	0.1429	0.1616
sipper	1M27	lk	97	0.0000	0.0000	0.0000	0.0000	0.0417	0.0722
sipper	1M27	py	97	0.0000	0.0000	0.0000	0.0000	0.1224	0.0928
sipper	2X9A	lk	97	0.0000	0.0000	0.0000	0.0526	0.0833	0.0722
sipper	2X9A	py	97	0.0000	0.0000	0.0000	0.0000	0.0600	0.0515
sipper	3A4S	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
sipper	3A4S	py	98	0.0000	0.0000	0.0000	0.0526	0.0816	0.0714
sipper	3PC8	lk	98	0.0000	0.0000	0.2000	0.2105	0.1224	0.0918
sipper	3PC8	py	96	1.0000	0.2000	0.2222	0.2632	0.1020	0.0833
tobi	1M27	lk	98	0.0000	0.0000	0.0000	0.0526	0.0816	0.1020
tobi	1M27	py	98	0.0000	0.0000	0.1000	0.1000	0.1020	0.0816
tobi	2X9A	lk	96	0.0000	0.6000	0.4444	0.4444	0.3750	0.3229
tobi	2X9A	py	95	0.0000	0.0000	0.0000	0.2632	0.2128	0.2316
tobi	3A4S	lk	98	0.0000	0.0000	0.0000	0.0526	0.1042	0.0612
tobi	3A4S	py	97	0.0000	0.4000	0.2000	0.1579	0.0833	0.0619
tobi	3PC8	lk	98	0.0000	0.0000	0.0000	0.1000	0.2041	0.2041
tobi	3PC8	py	97	0.0000	0.0000	0.1111	0.2105	0.1429	0.1237
vdw	1M27	lk	99	0.0000	0.0000	0.1000	0.1500	0.0816	0.0505
vdw	1M27	py	98	0.0000	0.0000	0.1000	0.0500	0.0408	0.0510
vdw	2X9A	lk	95	1.0000	0.2500	0.2222	0.1053	0.0638	0.0632
vdw	2X9A	py	96	0.0000	0.4000	0.3000	0.3158	0.1667	0.1146
