case	engine	n_solutions	top1	top5	top10	top20	top50	top100	status
1EXB	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1EXB	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1JTD	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	ok
1JTD	py	100	0.0000	0.0000	0.2000	0.1000	0.0400	0.0200	ok
1M27	lk	97	0.0000	0.0000	0.0000	0.0500	0.0600	0.0600	ok
1M27	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
1RKE	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
1RKE	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2A1A	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0200	ok
2A1A	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
2GAF	lk	97	0.0000	0.0000	0.0000	0.0500	0.0200	0.0100	ok
2GAF	py	100	0.0000	0.2000	0.1000	0.0500	0.0200	0.0200	ok
2GTP	lk	99	0.0000	0.0000	0.0000	0.0000	0.0600	0.0400	ok
2GTP	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2VXT	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2VXT	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2W9E	lk	97	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2W9E	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2X9A	lk	97	0.0000	0.6000	0.3000	0.3000	0.2000	0.1400	ok
2X9A	py	100	1.0000	0.6000	0.3000	0.1500	0.1200	0.0700	ok
2YVJ	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
2YVJ	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
3A4S	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0300	ok
3A4S	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAA	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAA	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAD	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3AAD	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3BIW	lk	98	0.0000	0.2000	0.1000	0.0500	0.0200	0.0100	ok
3BIW	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3BX7	lk	99	0.0000	0.0000	0.0000	0.0000	0.0200	0.0100	ok
3BX7	py	100	0.0000	0.0000	0.0000	0.1000	0.1000	0.0600	ok
3DAW	lk	97	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3DAW	py	100	0.0000	0.2000	0.1000	0.1000	0.0600	0.0400	ok
3EO1	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EO1	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EOA	lk	98	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3EOA	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3F1P	lk	100	1.0000	0.6000	0.5000	0.3000	0.1600	0.1000	ok
3F1P	py	100	0.0000	0.0000	0.1000	0.0500	0.0200	0.0200	ok
3FN1	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3FN1	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3G6D	lk	99	0.0000	0.0000	0.0000	0.0000	0.0200	0.0300	ok
3G6D	py	81	0.0000	0.0000	0.0000	0.0000	0.0000	0.0100	ok
3H11	lk	96	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3H11	py	100	0.0000	0.0000	0.1000	0.0500	0.0800	0.0400	ok
3H2V	lk	98	0.0000	0.0000	0.2000	0.1000	0.0400	0.0300	ok
3H2V	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HI6	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HI6	py	75	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HMX	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3HMX	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3K75	lk	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3K75	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3L5W	lk	99	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3L5W	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
3L89	lk	97	0.0000	0.2000	0.1000	0.0500	0.0200	0.0200	ok
3L89	py	44	0.0000	0.0000	0.1000	0.0500	0.0200	0.0100	ok
3LVK	lk	99	0.0000	0.0000	0.0000	0.0000	0.0400	0.0400	ok
3LVK	py	100	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	ok
